Name,Set,Count,Type
Jalhazar_s Wheel,3,1,Loot
Lady Agasta Smythee,2,1,Loot
Letter of Marque,3,1,Loot
Pirate_s Favor,3,1,Loot
Quickened Ray,5,1,Loot
Rickety Hake,2,1,Loot
Ring of the Iron Skull,3,1,Loot
Scoundrel_s Sword Cane,4,1,Loot
Skyrocket Crossbow,5,1,Loot
Svingli's Eye,2,1,Loot
Totem Necklace,2,1,Loot
Vailea,4,1,Loot
Vindictive Harpoon,1,1,Loot
Alchemical Glue,1,2,Item
Alchemist's Fire,C,1,Item
Alkali Flask,4,2,Item
Amulet of Fortitude,B,1,Item
Amulet of Life,B,1,Item
Anchor,B,1,Item
Archer's Bracers,1,1,Item
Astrolabe,1,1,Item
Besmara's Bones,2,1,Item
Blast Stone,C,1,Item
Bottled Lightning,5,2,Item
Bracers of Protection,B,1,Item
Caltrops,B,1,Item
Conch Shell,B,2,Item
Crown of Swords,2,1,Item
Crystal of Healing Hands,3,1,Item
Emerald of Dexterity,B,1,Item
Eye Patch,B,3,Item
Eye Patch,C,1,Item
Fuse Grenade,6,2,Item
Gloves of Dueling,5,1,Item
Helpful Haversack,1,2,Item
Jellyfish Cape,2,1,Item
Jolly Roger,2,2,Item
Liquid Ice,2,2,Item
Magic Spyglass,4,1,Item
Masterwork Tools,B,1,Item
Nautical Charts,B,1,Item
Net of Snaring,4,1,Item
Noxious Bomb,C,2,Item
Old Salt's Bandana,B,1,Item
Onyx of Constitution,B,1,Item
Pearl of Magic,6,2,Item
Pearl of Wisdom,B,1,Item
Periscope,2,2,Item
Potion of Flying,3,2,Item
Potion of Fortitude,B,3,Item
Potion of Glibness,B,2,Item
Potion of Healing,B,3,Item
Potion of Healing,C,1,Item
Potion of Heroism,1,2,Item
Potion of Lucubration,C,2,Item
Potion of the Ocean,3,2,Item
Powder Horn,B,1,Item
Powder Horn,C,1,Item
Powder Keg,3,1,Item
Ring of Rat Fangs,4,1,Item
Ring of Regeneration,5,1,Item
Ring of the Beasts,1,1,Item
Ring of the Sea Strider,5,1,Item
Ring of Wave Walking,1,2,Item
Ruby of Charisma,B,1,Item
Rum Bottle,B,2,Item
Rum Bottle,C,1,Item
Sapphire of Intelligence,B,1,Item
Sea Tyrant's Patch,3,1,Item
Skeleton Anchor,4,1,Item
Sniper's Googles,4,1,Item
Spellmaster's Tricorne,1,1,Item
Spyglass,B,2,Item
Staff of Weather,6,1,Item
Thieves' Tools,B,2,Item
Token of Remembrance,B,1,Item
Topaz of Strength,B,1,Item
Tot Flask,B,2,Item
Tot Flask,C,1,Item
Wand of Flame,2,1,Item
Wizard's Hook,5,1,Item
Worn Leather Skullcap,2,2,Item
Acolyte,B,1,Ally
Acolyte,C,1,Ally
Albatross,5,2,Ally
"Ambrose ""Fishguts"" Kroop",1,1,Ally
Arronax Endymion,5,1,Ally
Audessa Reyquio,4,1,Ally
Avimar Sorrinash,4,1,Ally
Baby Triceratops,6,2,Ally
Barefoot Samms Toppin,B,1,Ally
Barracuda Aiger,5,1,Ally
Besmaran Priest,B,1,Ally
Besmaran Priest,C,1,Ally
Boatswain,B,2,Ally
Cabin Boy,B,1,Ally
Captain,B,2,Ally
Captain,C,1,Ally
Carver,B,2,Ally
Carver,C,1,Ally
Chanty Singer,B,1,Ally
Conchobar Turlach Shortstone,1,1,Ally
Coral Capuchin,1,2,Ally
Corlan,3,1,Ally
Crimson Cogward,1,1,Ally
Cut-Throat Grok,1,1,Ally
Deckhand,B,1,Ally
Deckhand,C,1,Ally
Dindreann,3,1,Ally
Dodo,C,2,Ally
Dolphin,B,1,Ally
Dolphin,C,1,Ally
Dwarf Caiman,C,1,Ally
Ederleigh Baines,4,1,Ally
Fox,C,1,Ally
Giffer Tibbs,B,1,Ally
Haneilius Fitch,3,1,Ally
Heartbreak Hinson,B,1,Ally
Imp,3,1,Ally
Jinx Eater,B,1,Ally
"Joseph ""Jack"" Scrimshaw",C,1,Ally
Lady Cerise Bloodmourn,4,1,Ally
Lookout,B,2,Ally
Lookout,C,1,Ally
Mase Darimar,4,1,Ally
Master Gunner,B,2,Ally
Master of the Gales,6,1,Ally
Master-at-Arms,B,2,Ally
Master-at-Arms,C,1,Ally
Merrill Pegsworthy,2,1,Ally
Mogmurch,P,1,Ally
Monkey,3,2,Ally
Old Salt,B,2,Ally
Old Salt,C,1,Ally
Parrot,B,2,Ally
Parrot,C,1,Ally
Pierce Jerrell,3,1,Ally
Pteranodon,4,2,Ally
Quartermaster,B,1,Ally
Quartermaster,C,1,Ally
Rosie Cusswell,1,1,Ally
Rotgut,2,1,Ally
Royster McCleagh,2,1,Ally
Sailor,B,2,Ally
Sailor,C,1,Ally
Sandara Quinn,1,1,Ally
Sefina,4,1,Ally
Slip,3,1,Ally
Snow Leopard,C,1,Ally
Surgeon,B,1,Ally
Swab,B,2,Ally
Tessa Fairwind,3,1,Ally
Tidepool Dragon,1,1,Ally
Turtle,C,2,Ally
Blessing of Abadar,B,4,Blessing
Blessing of Abadar,C,1,Blessing
Blessing of Achaekek,B,4,Blessing
Blessing of Achaekek,C,1,Blessing
Blessing of Asmodeus,4,5,Blessing
Blessing of Besmara,1,5,Blessing
Blessing of Cayden Cailean,B,4,Blessing
Blessing of Cayden Cailean,C,1,Blessing
Blessing of Erastil,B,4,Blessing
Blessing of Erastil,C,1,Blessing
Blessing of Geryon,6,5,Blessing
Blessing of Gorum,B,4,Blessing
Blessing of Gorum,C,1,Blessing
Blessing of Gozreh,B,4,Blessing
Blessing of Gozreh,C,1,Blessing
Blessing of Hshurha,2,5,Blessing
Blessing of Kelizandri,3,5,Blessing
Blessing of Milani,B,4,Blessing
Blessing of Milani,C,1,Blessing
Blessing of Norgorber,5,5,Blessing
Blessing of Pharasma,B,4,Blessing
Blessing of Pharasma,C,1,Blessing
Blessing of Sivanah,B,4,Blessing
Blessing of Sivanah,C,1,Blessing
Blessing of the Gods,B,32,Blessing
Blessing of the Gods,C,5,Blessing
Blessing of Zogmugot,P,1,Blessing
